2022-02-15 08:53:47; 00:00:00.676; Consulta; InsertLog; AppController; Log; 2090;
2022-02-15 08:53:52; 00:00:00.508; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2090;
2022-02-15 08:53:52; 00:00:00.195; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2090;
2022-02-15 08:53:52; 00:00:01.1378; Consulta; InsertHistory; AppController; createHistory; 2090;
2022-02-15 08:53:52; 00:00:08.8892; Consulta; Funcion completa; BaseCustomersController; consult; 2090;
2022-02-15 08:54:04; 00:00:00.81; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2090;
2022-02-15 08:54:05; 00:00:00.375; Declinada; Guardar History; AppController; updateHistory; 2090;
2022-02-15 08:54:06; 00:00:00.89; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2090;
2022-02-15 08:54:06; 00:00:00.89; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2090;
2022-02-15 08:54:07; 00:00:00.191; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2090;
2022-02-15 08:54:07; 00:00:03.3579; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2090;
2022-02-15 08:54:08; 00:00:00.81; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2090;
2022-02-15 08:54:14; 00:00:00.273; Consulta; InsertLog; AppController; Log; 2091;
2022-02-15 08:54:15; 00:00:00.100; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2091;
2022-02-15 08:54:16; 00:00:00.207; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2091;
2022-02-15 08:54:16; 00:00:00.470; Consulta; InsertHistory; AppController; createHistory; 2091;
2022-02-15 08:54:16; 00:00:03.3095; Consulta; Funcion completa; BaseCustomersController; consult; 2091;
2022-02-15 08:54:28; 00:00:00.188; Declinada; Guardar History; AppController; updateHistory; ;
2022-02-15 08:54:29; 00:00:00.92; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2091;
2022-02-15 08:54:29; 00:00:00.92; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2091;
2022-02-15 08:54:29; 00:00:00.195; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2091;
2022-02-15 08:54:29; 00:00:00.277; Consulta; InsertLog; AppController; Log; 2092;
2022-02-15 08:54:31; 00:00:00.94; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2092;
2022-02-15 08:54:31; 00:00:00.206; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2092;
2022-02-15 08:54:31; 00:00:00.448; Consulta; InsertHistory; AppController; createHistory; 2092;
2022-02-15 08:54:31; 00:00:06.6268; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2091;
2022-02-15 08:55:00; 00:00:00.286; Consulta; InsertLog; AppController; Log; 2093;
2022-02-15 08:55:02; 00:00:00.92; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2093;
2022-02-15 08:55:02; 00:00:00.184; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2093;
2022-02-15 08:55:02; 00:00:00.464; Consulta; InsertHistory; AppController; createHistory; 2093;
2022-02-15 08:55:02; 00:00:03.3130; Consulta; Funcion completa; BaseCustomersController; consult; 2093;
2022-02-15 08:55:26; 00:00:00.86; Declinada; Conteo Normalizacion; AppController; updateHistory; 2093;
2022-02-15 08:55:26; 00:00:00.90; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2093;
2022-02-15 08:55:28; 00:00:00.930; Declinada; Guardar History; AppController; updateHistory; 2093;
2022-02-15 08:55:29; 00:00:00.88; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2093;
2022-02-15 08:55:29; 00:00:00.88; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2093;
2022-02-15 08:55:29; 00:00:00.201; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2093;
2022-02-15 08:55:29; 00:00:03.3806; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2093;
2022-02-15 08:55:30; 00:00:00.29; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2093;
