2022-02-15 10:09:20; 00:00:00.109; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2120;
2022-02-15 10:09:26; 00:00:05.5585; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2120;
2022-02-15 10:09:26; 00:00:19.19388; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2120;
2022-02-15 10:09:27; 00:00:00.79; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2120;
2022-02-15 10:10:24; 00:00:00.393; Consulta; InsertLog; AppController; Log; 2121;
2022-02-15 10:10:26; 00:00:00.114; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2121;
2022-02-15 10:10:27; 00:00:00.516; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2121;
2022-02-15 10:10:27; 00:00:00.702; Consulta; InsertHistory; AppController; createHistory; 2121;
2022-02-15 10:10:27; 00:00:04.4800; Consulta; Funcion completa; BaseCustomersController; consult; 2121;
2022-02-15 10:11:07; 00:00:00.114; Declinada; Conteo Normalizacion; AppController; updateHistory; 2121;
2022-02-15 10:11:07; 00:00:00.124; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2121;
2022-02-15 10:11:08; 00:00:01.1300; Declinada; Guardar History; AppController; updateHistory; 2121;
2022-02-15 10:11:10; 00:00:00.110; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2121;
2022-02-15 10:11:10; 00:00:00.110; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2121;
2022-02-15 10:11:11; 00:00:00.527; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2121;
2022-02-15 10:11:11; 00:00:05.5394; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2121;
2022-02-15 10:11:12; 00:00:00.70; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2121;
2022-02-15 10:45:23; 00:00:00.292; Consulta; InsertLog; AppController; Log; 2127;
2022-02-15 10:45:25; 00:00:00.88; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2127;
2022-02-15 10:45:26; 00:00:00.489; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2127;
2022-02-15 10:45:26; 00:00:00.726; Consulta; InsertHistory; AppController; createHistory; 2127;
2022-02-15 10:45:26; 00:00:04.4663; Consulta; Funcion completa; BaseCustomersController; consult; 2127;
2022-02-15 10:45:42; 00:00:00.86; Declinada; Conteo Normalizacion; AppController; updateHistory; 2127;
2022-02-15 10:45:42; 00:00:00.88; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2127;
2022-02-15 10:45:43; 00:00:01.1251; Declinada; Guardar History; AppController; updateHistory; 2127;
