2022-02-15 11:00:23; 00:00:00.314; Consulta; InsertLog; AppController; Log; 2149;
2022-02-15 11:00:25; 00:00:00.99; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2149;
2022-02-15 11:00:26; 00:00:00.511; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2149;
2022-02-15 11:00:26; 00:00:00.682; Consulta; InsertHistory; AppController; createHistory; 2149;
2022-02-15 11:00:26; 00:00:04.4317; Consulta; Funcion completa; BaseCustomersController; consult; 2149;
2022-02-15 11:01:03; 00:00:00.93; Declinada; Conteo Normalizacion; AppController; updateHistory; 2149;
2022-02-15 11:01:03; 00:00:00.92; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2149;
2022-02-15 11:01:04; 00:00:01.1285; Declinada; Guardar History; AppController; updateHistory; 2149;
2022-02-15 11:01:06; 00:00:00.92; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2149;
2022-02-15 11:01:06; 00:00:00.92; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2149;
2022-02-15 11:01:07; 00:00:00.544; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2149;
2022-02-15 11:01:07; 00:00:05.5345; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2149;
2022-02-15 11:01:08; 00:00:00.80; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2149;
2022-02-15 11:06:42; 00:00:00.357; Consulta; InsertLog; AppController; Log; 2151;
2022-02-15 11:06:44; 00:00:00.122; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2151;
2022-02-15 11:06:45; 00:00:00.493; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2151;
2022-02-15 11:06:45; 00:00:00.754; Consulta; InsertHistory; AppController; createHistory; 2151;
2022-02-15 11:06:45; 00:00:04.4764; Consulta; Funcion completa; BaseCustomersController; consult; 2151;
2022-02-15 11:06:53; 00:00:00.109; Declinada; Conteo Normalizacion; AppController; updateHistory; 2151;
2022-02-15 11:06:53; 00:00:00.105; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2151;
2022-02-15 11:06:55; 00:00:01.1286; Declinada; Guardar History; AppController; updateHistory; 2151;
2022-02-15 11:06:56; 00:00:00.93; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2151;
2022-02-15 11:06:56; 00:00:00.93; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2151;
2022-02-15 11:06:57; 00:00:00.550; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2151;
2022-02-15 11:06:57; 00:00:05.5412; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2151;
2022-02-15 11:06:58; 00:00:00.82; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2151;
2022-02-15 11:08:45; 00:00:00.331; Consulta; InsertLog; AppController; Log; 2153;
2022-02-15 11:08:48; 00:00:00.118; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2153;
2022-02-15 11:08:49; 00:00:01.1012; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2153;
2022-02-15 11:08:49; 00:00:01.1151; Consulta; InsertHistory; AppController; createHistory; 2153;
2022-02-15 11:08:49; 00:00:06.6167; Consulta; Funcion completa; BaseCustomersController; consult; 2153;
2022-02-15 11:09:13; 00:00:00.88; Declinada; Conteo Normalizacion; AppController; updateHistory; 2153;
2022-02-15 11:09:13; 00:00:00.91; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2153;
2022-02-15 11:09:15; 00:00:01.1678; Declinada; Guardar History; AppController; updateHistory; 2153;
2022-02-15 11:09:17; 00:00:00.91; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2153;
2022-02-15 11:09:17; 00:00:00.91; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2153;
2022-02-15 11:09:18; 00:00:00.953; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2153;
2022-02-15 11:09:18; 00:00:06.6399; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2153;
2022-02-15 11:09:19; 00:00:00.77; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2153;
2022-02-15 11:11:16; 00:00:00.339; Consulta; InsertLog; AppController; Log; 2154;
2022-02-15 11:11:18; 00:00:00.111; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2154;
2022-02-15 11:11:19; 00:00:01.1027; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2154;
2022-02-15 11:11:19; 00:00:01.1145; Consulta; InsertHistory; AppController; createHistory; 2154;
2022-02-15 11:11:19; 00:00:06.6106; Consulta; Funcion completa; BaseCustomersController; consult; 2154;
2022-02-15 11:11:29; 00:00:00.89; Declinada; Conteo Normalizacion; AppController; updateHistory; 2154;
2022-02-15 11:11:29; 00:00:00.88; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2154;
2022-02-15 11:11:31; 00:00:01.1688; Declinada; Guardar History; AppController; updateHistory; 2154;
2022-02-15 11:11:33; 00:00:00.127; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2154;
2022-02-15 11:11:33; 00:00:00.127; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2154;
2022-02-15 11:11:34; 00:00:01.1016; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2154;
2022-02-15 11:11:34; 00:00:06.6783; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2154;
