2022-02-15 09:01:26; 00:00:00.287; Consulta; InsertLog; AppController; Log; 2094;
2022-02-15 09:01:27; 00:00:00.89; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2094;
2022-02-15 09:01:28; 00:00:00.199; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2094;
2022-02-15 09:01:28; 00:00:00.462; Consulta; InsertHistory; AppController; createHistory; 2094;
2022-02-15 09:01:28; 00:00:03.3118; Consulta; Funcion completa; BaseCustomersController; consult; 2094;
2022-02-15 09:02:14; 00:00:00.288; Consulta; InsertLog; AppController; Log; 2095;
2022-02-15 09:02:16; 00:00:00.88; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2095;
2022-02-15 09:02:17; 00:00:00.206; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2095;
2022-02-15 09:02:17; 00:00:00.455; Consulta; InsertHistory; AppController; createHistory; 2095;
2022-02-15 09:02:17; 00:00:03.3181; Consulta; Funcion completa; BaseCustomersController; consult; 2095;
2022-02-15 09:02:48; 00:00:00.87; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2095;
2022-02-15 09:02:49; 00:00:00.371; Declinada; Guardar History; AppController; updateHistory; 2095;
2022-02-15 09:02:50; 00:00:00.99; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2095;
2022-02-15 09:02:50; 00:00:00.99; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2095;
2022-02-15 09:02:51; 00:00:00.195; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2095;
2022-02-15 09:02:51; 00:00:03.3318; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2095;
2022-02-15 09:02:52; 00:00:00.19; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2095;
2022-02-15 09:03:03; 00:00:00.290; Consulta; InsertLog; AppController; Log; 2096;
2022-02-15 09:03:04; 00:00:00.97; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2096;
2022-02-15 09:03:05; 00:00:00.211; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2096;
2022-02-15 09:03:05; 00:00:00.459; Consulta; InsertHistory; AppController; createHistory; 2096;
2022-02-15 09:03:05; 00:00:03.3205; Consulta; Funcion completa; BaseCustomersController; consult; 2096;
2022-02-15 09:03:22; 00:00:00.94; Declinada; Conteo Normalizacion; AppController; updateHistory; 2096;
2022-02-15 09:03:22; 00:00:00.83; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2096;
2022-02-15 09:03:23; 00:00:00.890; Declinada; Guardar History; AppController; updateHistory; 2096;
2022-02-15 09:03:24; 00:00:00.89; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2096;
2022-02-15 09:03:24; 00:00:00.89; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2096;
2022-02-15 09:03:25; 00:00:00.220; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2096;
2022-02-15 09:03:25; 00:00:03.3910; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2096;
2022-02-15 09:03:26; 00:00:00.40; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2096;
2022-02-15 09:05:03; 00:00:00.300; Consulta; InsertLog; AppController; Log; 2097;
2022-02-15 09:05:05; 00:00:00.97; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2097;
2022-02-15 09:05:05; 00:00:00.198; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2097;
2022-02-15 09:05:05; 00:00:00.479; Consulta; InsertHistory; AppController; createHistory; 2097;
2022-02-15 09:05:05; 00:00:03.3199; Consulta; Funcion completa; BaseCustomersController; consult; 2097;
2022-02-15 09:05:15; 00:00:00.86; Declinada; Conteo Normalizacion; AppController; updateHistory; 2097;
2022-02-15 09:05:15; 00:00:00.84; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2097;
2022-02-15 09:05:17; 00:00:00.953; Declinada; Guardar History; AppController; updateHistory; 2097;
2022-02-15 09:05:18; 00:00:00.85; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2097;
2022-02-15 09:05:18; 00:00:00.85; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2097;
2022-02-15 09:05:18; 00:00:00.189; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2097;
2022-02-15 09:05:18; 00:00:03.3876; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2097;
2022-02-15 09:05:19; 00:00:00.18; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2097;
2022-02-15 09:07:08; 00:00:00.284; Consulta; InsertLog; AppController; Log; 2098;
2022-02-15 09:07:10; 00:00:00.92; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2098;
2022-02-15 09:07:10; 00:00:00.202; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2098;
2022-02-15 09:07:10; 00:00:00.453; Consulta; InsertHistory; AppController; createHistory; 2098;
2022-02-15 09:07:10; 00:00:03.3076; Consulta; Funcion completa; BaseCustomersController; consult; 2098;
2022-02-15 09:07:34; 00:00:00.86; Declinada; Conteo Normalizacion; AppController; updateHistory; 2098;
2022-02-15 09:07:34; 00:00:00.90; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2098;
2022-02-15 09:07:36; 00:00:00.908; Declinada; Guardar History; AppController; updateHistory; 2098;
2022-02-15 09:07:37; 00:00:00.86; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2098;
2022-02-15 09:07:37; 00:00:00.86; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2098;
2022-02-15 09:07:37; 00:00:00.183; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2098;
2022-02-15 09:07:37; 00:00:03.3693; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2098;
2022-02-15 09:07:38; 00:00:00.30; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2098;
2022-02-15 09:30:47; 00:00:00.295; Consulta; InsertLog; AppController; Log; 2100;
2022-02-15 09:30:49; 00:00:00.89; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2100;
2022-02-15 09:30:49; 00:00:00.418; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2100;
2022-02-15 09:30:49; 00:00:00.686; Consulta; InsertHistory; AppController; createHistory; 2100;
2022-02-15 09:30:49; 00:00:04.4343; Consulta; Funcion completa; BaseCustomersController; consult; 2100;
