2022-02-22 14:00:18; 00:00:00.312; Consulta; InsertLog; AppController; Log; 2785;
2022-02-22 14:00:21; 00:00:00.459; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2785;
2022-02-22 14:00:22; 00:00:00.628; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2785;
2022-02-22 14:00:22; 00:00:00.861; Consulta; InsertHistory; AppController; createHistory; 2785;
2022-02-22 14:00:22; 00:00:04.4819; Consulta; Funcion completa; BaseCustomersController; consult; 2785;
2022-02-22 14:00:50; 00:00:00.88; Declinada; Conteo Normalizacion; AppController; updateHistory; 2785;
2022-02-22 14:00:50; 00:00:00.98; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2785;
2022-02-22 14:00:52; 00:00:01.1315; Declinada; Guardar History; AppController; updateHistory; 2785;
2022-02-22 14:00:54; 00:00:00.469; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2785;
2022-02-22 14:00:55; 00:00:00.469; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2785;
2022-02-22 14:00:56; 00:00:00.587; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2785;
2022-02-22 14:00:56; 00:00:06.6738; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2785;
2022-02-22 14:00:57; 00:00:00.17; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2785;
2022-02-22 14:04:59; 00:00:00.308; Consulta; InsertLog; AppController; Log; 2786;
2022-02-22 14:05:02; 00:00:00.559; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2786;
2022-02-22 14:05:03; 00:00:00.598; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2786;
2022-02-22 14:05:03; 00:00:00.863; Consulta; InsertHistory; AppController; createHistory; 2786;
2022-02-22 14:05:03; 00:00:04.4983; Consulta; Funcion completa; BaseCustomersController; consult; 2786;
2022-02-22 14:05:10; 00:00:00.89; Declinada; Conteo Normalizacion; AppController; updateHistory; 2786;
2022-02-22 14:05:10; 00:00:00.91; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2786;
2022-02-22 14:05:12; 00:00:01.1298; Declinada; Guardar History; AppController; updateHistory; 2786;
2022-02-22 14:05:14; 00:00:00.466; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2786;
2022-02-22 14:05:16; 00:00:00.466; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2786;
2022-02-22 14:05:16; 00:00:00.613; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2786;
2022-02-22 14:05:16; 00:00:06.6787; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2786;
2022-02-22 14:05:17; 00:00:00.16; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2786;
2022-02-22 14:12:22; 00:00:01.1053; Consulta; InsertLog; AppController; Log; 2787;
2022-02-22 14:12:27; 00:00:00.866; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2787;
2022-02-22 14:12:28; 00:00:00.592; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2787;
2022-02-22 14:12:28; 00:00:01.1607; Consulta; InsertHistory; AppController; createHistory; 2787;
2022-02-22 14:12:28; 00:00:11.11469; Consulta; Funcion completa; BaseCustomersController; consult; 2787;
2022-02-22 14:13:30; 00:00:00.87; Declinada; Conteo Normalizacion; AppController; updateHistory; 2787;
2022-02-22 14:13:30; 00:00:00.86; Declinada; Conteo PunishedPortfolios; AppController; updateHistory; 2787;
2022-02-22 14:13:30; 00:00:00.90; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2787;
2022-02-22 14:13:32; 00:00:01.1473; Declinada; Guardar History; AppController; updateHistory; 2787;
2022-02-22 14:13:34; 00:00:00.452; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2787;
2022-02-22 14:13:35; 00:00:00.452; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2787;
2022-02-22 14:13:36; 00:00:00.616; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2787;
2022-02-22 14:13:36; 00:00:07.7487; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2787;
2022-02-22 14:13:37; 00:00:00.15; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2787;
2022-02-22 14:17:10; 00:00:00.280; Consulta; InsertLog; AppController; Log; 2788;
2022-02-22 14:17:13; 00:00:00.486; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2788;
2022-02-22 14:17:13; 00:00:00.590; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2788;
2022-02-22 14:17:13; 00:00:00.870; Consulta; InsertHistory; AppController; createHistory; 2788;
2022-02-22 14:17:13; 00:00:04.4818; Consulta; Funcion completa; BaseCustomersController; consult; 2788;
2022-02-22 14:17:54; 00:00:00.91; Declinada; Conteo Normalizacion; AppController; updateHistory; 2788;
2022-02-22 14:17:55; 00:00:00.87; Declinada; Conteo PunishedPortfolios; AppController; updateHistory; 2788;
2022-02-22 14:17:55; 00:00:00.88; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2788;
2022-02-22 14:17:57; 00:00:01.1539; Declinada; Guardar History; AppController; updateHistory; 2788;
