2022-02-22 13:10:21; 00:00:00.620; Consulta; InsertLog; AppController; Log; 2773;
2022-02-22 13:10:26; 00:00:01.1032; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2773;
2022-02-22 13:10:27; 00:00:00.592; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2773;
2022-02-22 13:10:27; 00:00:01.1549; Consulta; InsertHistory; AppController; createHistory; 2773;
2022-02-22 13:10:27; 00:00:10.10074; Consulta; Funcion completa; BaseCustomersController; consult; 2773;
2022-02-22 13:10:44; 00:00:00.87; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2773;
2022-02-22 13:10:46; 00:00:00.790; Declinada; Guardar History; AppController; updateHistory; 2773;
2022-02-22 13:10:47; 00:00:00.509; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2773;
2022-02-22 13:10:49; 00:00:00.509; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2773;
2022-02-22 13:10:50; 00:00:00.625; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2773;
2022-02-22 13:10:50; 00:00:06.6811; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2773;
2022-02-22 13:10:51; 00:00:00.19; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2773;
2022-02-22 13:13:28; 00:00:00.292; Consulta; InsertLog; AppController; Log; 2774;
2022-02-22 13:13:31; 00:00:00.513; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2774;
2022-02-22 13:13:31; 00:00:00.620; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2774;
2022-02-22 13:13:31; 00:00:00.839; Consulta; InsertHistory; AppController; createHistory; 2774;
2022-02-22 13:13:31; 00:00:04.4805; Consulta; Funcion completa; BaseCustomersController; consult; 2774;
2022-02-22 13:13:43; 00:00:00.89; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2774;
2022-02-22 13:13:44; 00:00:00.762; Declinada; Guardar History; AppController; updateHistory; 2774;
2022-02-22 13:13:46; 00:00:00.501; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2774;
2022-02-22 13:13:48; 00:00:00.501; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2774;
2022-02-22 13:13:48; 00:00:00.616; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2774;
2022-02-22 13:13:48; 00:00:06.6277; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2774;
2022-02-22 13:13:49; 00:00:00.13; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2774;
2022-02-22 13:17:25; 00:00:00.314; Consulta; InsertLog; AppController; Log; 2775;
2022-02-22 13:17:27; 00:00:00.494; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2775;
2022-02-22 13:17:28; 00:00:00.589; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2775;
2022-02-22 13:17:28; 00:00:00.806; Consulta; InsertHistory; AppController; createHistory; 2775;
2022-02-22 13:17:28; 00:00:04.4697; Consulta; Funcion completa; BaseCustomersController; consult; 2775;
2022-02-22 13:17:37; 00:00:00.87; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2775;
2022-02-22 13:17:38; 00:00:00.752; Declinada; Guardar History; AppController; updateHistory; 2775;
2022-02-22 13:17:40; 00:00:00.494; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2775;
2022-02-22 13:17:42; 00:00:00.494; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2775;
2022-02-22 13:17:42; 00:00:00.594; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2775;
2022-02-22 13:17:42; 00:00:06.6194; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2775;
2022-02-22 13:17:43; 00:00:00.24; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2775;
2022-02-22 13:20:33; 00:00:00.314; Consulta; InsertLog; AppController; Log; 2776;
2022-02-22 13:20:36; 00:00:00.490; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2776;
2022-02-22 13:20:36; 00:00:00.621; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2776;
2022-02-22 13:20:36; 00:00:00.851; Consulta; InsertHistory; AppController; createHistory; 2776;
2022-02-22 13:20:36; 00:00:04.4859; Consulta; Funcion completa; BaseCustomersController; consult; 2776;
2022-02-22 13:21:18; 00:00:00.88; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2776;
2022-02-22 13:21:20; 00:00:00.778; Declinada; Guardar History; AppController; updateHistory; 2776;
2022-02-22 13:21:21; 00:00:00.493; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2776;
2022-02-22 13:21:23; 00:00:00.493; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2776;
2022-02-22 13:21:24; 00:00:00.610; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2776;
2022-02-22 13:21:24; 00:00:06.6366; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2776;
2022-02-22 13:21:25; 00:00:00.26; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2776;
2022-02-22 13:21:38; 00:00:00.290; Consulta; InsertLog; AppController; Log; 2777;
2022-02-22 13:21:41; 00:00:00.482; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2777;
2022-02-22 13:21:41; 00:00:00.589; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2777;
2022-02-22 13:21:41; 00:00:00.816; Consulta; InsertHistory; AppController; createHistory; 2777;
2022-02-22 13:21:42; 00:00:04.4683; Consulta; Funcion completa; BaseCustomersController; consult; 2777;
2022-02-22 13:21:53; 00:00:00.83; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2777;
2022-02-22 13:21:54; 00:00:00.748; Declinada; Guardar History; AppController; updateHistory; 2777;
2022-02-22 13:21:56; 00:00:00.474; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2777;
2022-02-22 13:21:57; 00:00:00.474; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2777;
2022-02-22 13:21:58; 00:00:00.609; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2777;
2022-02-22 13:21:58; 00:00:07.7755; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2777;
2022-02-22 13:21:59; 00:00:00.13; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2777;
2022-02-22 13:22:31; 00:00:00.304; Consulta; InsertLog; AppController; Log; 2778;
2022-02-22 13:22:34; 00:00:00.452; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2778;
2022-02-22 13:22:34; 00:00:00.606; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2778;
2022-02-22 13:22:34; 00:00:00.779; Consulta; InsertHistory; AppController; createHistory; 2778;
2022-02-22 13:22:35; 00:00:04.4623; Consulta; Funcion completa; BaseCustomersController; consult; 2778;
2022-02-22 13:22:44; 00:00:00.87; Declinada; Conteo Normalizacion; AppController; updateHistory; 2778;
2022-02-22 13:22:44; 00:00:00.89; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2778;
2022-02-22 13:22:45; 00:00:00.828; Declinada; Guardar History; AppController; updateHistory; 2778;
2022-02-22 13:22:47; 00:00:00.469; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2778;
2022-02-22 13:22:49; 00:00:00.469; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2778;
2022-02-22 13:22:49; 00:00:00.604; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2778;
2022-02-22 13:22:49; 00:00:06.6266; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2778;
2022-02-22 13:22:50; 00:00:00.13; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2778;
2022-02-22 13:24:18; 00:00:00.278; Consulta; InsertLog; AppController; Log; 2779;
2022-02-22 13:24:20; 00:00:00.463; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2779;
2022-02-22 13:24:21; 00:00:00.586; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2779;
2022-02-22 13:24:21; 00:00:00.844; Consulta; InsertHistory; AppController; createHistory; 2779;
2022-02-22 13:24:21; 00:00:04.4618; Consulta; Funcion completa; BaseCustomersController; consult; 2779;
2022-02-22 13:24:31; 00:00:00.86; Declinada; Conteo Normalizacion; AppController; updateHistory; 2779;
2022-02-22 13:24:31; 00:00:00.83; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2779;
