2022-02-10 12:53:11; 00:00:00.253; Consulta; InsertLog; AppController; Log; 1992;
2022-02-10 12:53:13; 00:00:00.97; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:53:14; 00:00:00.995; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:53:14; 00:00:01.1102; Consulta; InsertHistory; AppController; createHistory; 1992;
2022-02-10 12:53:14; 00:00:05.5462; Consulta; Funcion completa; BaseCustomersController; consult; 1992;
2022-02-10 12:54:07; 00:00:00.86; Declinada; Conteo Normalizacion; AppController; updateHistory; 1992;
2022-02-10 12:54:07; 00:00:00.85; Declinada; EliminarHistoryDetails; AppController; updateHistory; 1992;
2022-02-10 12:54:08; 00:00:01.1109; Declinada; Guardar History; AppController; updateHistory; 1992;
2022-02-10 12:54:10; 00:00:00.78; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:54:10; 00:00:00.78; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:54:11; 00:00:00.992; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:54:11; 00:00:05.5103; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 1992;
2022-02-10 12:54:12; 00:00:00.48; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 1992;
2022-02-10 12:55:11; 00:00:00.343; Declinada; Guardar History; AppController; updateHistory; ;
2022-02-10 12:55:12; 00:00:00.81; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:55:12; 00:00:00.81; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:55:14; 00:00:01.1855; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1992;
2022-02-10 12:55:14; 00:00:00.426; Consulta; InsertLog; AppController; Log; 1993;
2022-02-10 12:55:17; 00:00:00.86; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1993;
2022-02-10 12:55:19; 00:00:01.1885; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1993;
2022-02-10 12:55:19; 00:00:01.1415; Consulta; InsertHistory; AppController; createHistory; 1993;
