2022-02-10 16:17:55; 00:00:00.249; Consulta; InsertLog; AppController; Log; 2008;
2022-02-10 16:17:56; 00:00:00.91; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:17:56; 00:00:00.180; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:17:56; 00:00:00.424; Consulta; InsertHistory; AppController; createHistory; 2008;
2022-02-10 16:17:57; 00:00:02.2912; Consulta; Funcion completa; BaseCustomersController; consult; 2008;
2022-02-10 16:19:31; 00:00:00.85; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2008;
2022-02-10 16:19:32; 00:00:00.361; Declinada; Guardar History; AppController; updateHistory; 2008;
2022-02-10 16:19:34; 00:00:00.93; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:19:34; 00:00:00.93; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:19:34; 00:00:00.181; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:19:34; 00:00:03.3313; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2008;
2022-02-10 16:19:35; 00:00:00.77; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2008;
2022-02-10 16:20:23; 00:00:00.176; Finalizar; Insertar AdjustedObligations; BaseObligationsController; ajuste_data; 2008;
2022-02-10 16:20:23; 00:00:00.83; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2008;
2022-02-10 16:20:23; 00:00:00.336; Declinada; Guardar History; AppController; updateHistory; 2008;
2022-02-10 16:20:25; 00:00:00.92; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:20:25; 00:00:00.92; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:20:25; 00:00:00.201; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2008;
2022-02-10 16:20:26; 00:00:00.180; Finalizar; Insertar logCommercial; LogCommercial; PersistenceLogsCommercial; 2008;
2022-02-10 16:20:26; 00:00:03.3458; Finalizar negociación; Funcion completa; BaseObligationsController; finalizar; 2008;
