2022-02-10 11:02:48; 00:00:00.750; Consulta; InsertLog; AppController; Log; 1983;
2022-02-10 11:02:53; 00:00:00.489; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:02:53; 00:00:00.493; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:02:53; 00:00:01.1583; Consulta; InsertHistory; AppController; createHistory; 1983;
2022-02-10 11:02:53; 00:00:10.10609; Consulta; Funcion completa; BaseCustomersController; consult; 1983;
2022-02-10 11:03:10; 00:00:00.111; Declinada; EliminarHistoryDetails; AppController; updateHistory; 1983;
2022-02-10 11:03:11; 00:00:00.599; Declinada; Guardar History; AppController; updateHistory; 1983;
2022-02-10 11:03:13; 00:00:00.85; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:03:13; 00:00:00.85; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:03:14; 00:00:00.465; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:03:14; 00:00:05.5603; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 1983;
2022-02-10 11:03:15; 00:00:00.138; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 1983;
2022-02-10 11:04:38; 00:00:00.748; Finalizar; Insertar AdjustedObligations; BaseObligationsController; ajuste_data; 1983;
2022-02-10 11:04:38; 00:00:00.90; Declinada; EliminarHistoryDetails; AppController; updateHistory; 1983;
2022-02-10 11:04:39; 00:00:00.664; Declinada; Guardar History; AppController; updateHistory; 1983;
2022-02-10 11:04:41; 00:00:00.88; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:04:41; 00:00:00.88; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:04:42; 00:00:00.808; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1983;
2022-02-10 11:04:43; 00:00:00.861; Finalizar; Insertar logCommercial; LogCommercial; PersistenceLogsCommercial; 1983;
2022-02-10 11:04:43; 00:00:07.7198; Finalizar negociación; Funcion completa; BaseObligationsController; finalizar; 1983;
2022-02-10 11:05:02; 00:00:00.344; Consulta; InsertLog; AppController; Log; 1984;
2022-02-10 11:05:04; 00:00:00.96; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1984;
2022-02-10 11:05:05; 00:00:00.488; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1984;
2022-02-10 11:05:05; 00:00:00.727; Consulta; InsertHistory; AppController; createHistory; 1984;
2022-02-10 11:05:05; 00:00:04.4802; Consulta; Funcion completa; BaseCustomersController; consult; 1984;
2022-02-10 11:06:05; 00:00:00.312; Consulta; InsertLog; AppController; Log; 1985;
2022-02-10 11:06:07; 00:00:00.116; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:06:08; 00:00:00.492; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:06:08; 00:00:00.733; Consulta; InsertHistory; AppController; createHistory; 1985;
2022-02-10 11:06:08; 00:00:04.4716; Consulta; Funcion completa; BaseCustomersController; consult; 1985;
2022-02-10 11:07:01; 00:00:00.85; Declinada; EliminarHistoryDetails; AppController; updateHistory; 1985;
2022-02-10 11:07:02; 00:00:00.603; Declinada; Guardar History; AppController; updateHistory; 1985;
2022-02-10 11:07:03; 00:00:00.95; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:07:03; 00:00:00.95; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:07:04; 00:00:00.452; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:07:04; 00:00:04.4777; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 1985;
2022-02-10 11:07:06; 00:00:00.168; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 1985;
2022-02-10 11:07:51; 00:00:00.201; Finalizar; Insertar AdjustedObligations; BaseObligationsController; ajuste_data; 1985;
2022-02-10 11:07:51; 00:00:00.87; Declinada; EliminarHistoryDetails; AppController; updateHistory; 1985;
2022-02-10 11:07:53; 00:00:00.667; Declinada; Guardar History; AppController; updateHistory; 1985;
2022-02-10 11:07:54; 00:00:00.91; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:07:55; 00:00:00.91; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:07:55; 00:00:00.489; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1985;
2022-02-10 11:07:56; 00:00:00.249; Finalizar; Insertar logCommercial; LogCommercial; PersistenceLogsCommercial; 1985;
2022-02-10 11:07:56; 00:00:05.5581; Finalizar negociación; Funcion completa; BaseObligationsController; finalizar; 1985;
2022-02-10 11:08:25; 00:00:00.362; Consulta; InsertLog; AppController; Log; 1986;
2022-02-10 11:08:28; 00:00:00.90; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1986;
2022-02-10 11:08:28; 00:00:00.529; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1986;
2022-02-10 11:08:28; 00:00:00.731; Consulta; InsertHistory; AppController; createHistory; 1986;
2022-02-10 11:08:29; 00:00:04.4946; Consulta; Funcion completa; BaseCustomersController; consult; 1986;
