2022-02-10 13:35:44; 00:00:00.263; Consulta; InsertLog; AppController; Log; 2000;
2022-02-10 13:35:46; 00:00:00.85; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:35:46; 00:00:00.178; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:35:46; 00:00:00.427; Consulta; InsertHistory; AppController; createHistory; 2000;
2022-02-10 13:35:46; 00:00:03.3403; Consulta; Funcion completa; BaseCustomersController; consult; 2000;
2022-02-10 13:35:58; 00:00:00.936; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2000;
2022-02-10 13:36:15; 00:00:00.83; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2000;
2022-02-10 13:36:16; 00:00:00.415; Declinada; Guardar History; AppController; updateHistory; 2000;
2022-02-10 13:36:17; 00:00:00.97; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:36:17; 00:00:00.97; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:36:18; 00:00:00.207; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:36:21; 00:00:00.61; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2000;
2022-02-10 13:36:33; 00:00:00.350; Finalizar; Insertar AdjustedObligations; BaseObligationsController; ajuste_data; 2000;
2022-02-10 13:36:33; 00:00:00.98; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2000;
2022-02-10 13:36:34; 00:00:00.514; Declinada; Guardar History; AppController; updateHistory; 2000;
2022-02-10 13:36:35; 00:00:00.91; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:36:35; 00:00:00.91; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:36:35; 00:00:00.368; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2000;
2022-02-10 13:37:35; 00:00:00.472; Conteo; Actualización logTransactional; logTransactional; AceptarComite; ;
2022-02-10 13:37:35; 00:00:00.88; Actualizacion; Actualización logTransactional; logTransactional; AceptarComite; ;
