2022-02-23 09:21:34; 00:00:00.648; Consulta; InsertLog; AppController; Log; 2803;
2022-02-23 09:21:34; 00:00:01.1303; Consulta; Funcion completa; BaseCustomersController; consult; 2803;
2022-02-23 09:22:21; 00:00:00.271; Consulta; InsertLog; AppController; Log; 2804;
2022-02-23 09:22:21; 00:00:00.523; Consulta; Funcion completa; BaseCustomersController; consult; 2804;
2022-02-23 09:22:33; 00:00:00.291; Consulta; InsertLog; AppController; Log; 2805;
2022-02-23 09:22:38; 00:00:01.1095; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2805;
2022-02-23 09:22:39; 00:00:00.627; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2805;
2022-02-23 09:22:39; 00:00:01.1655; Consulta; InsertHistory; AppController; createHistory; 2805;
2022-02-23 09:22:39; 00:00:10.10034; Consulta; Funcion completa; BaseCustomersController; consult; 2805;
2022-02-23 09:24:03; 00:00:00.95; Declinada; Conteo Normalizacion; AppController; updateHistory; 2805;
2022-02-23 09:24:03; 00:00:00.98; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2805;
2022-02-23 09:24:04; 00:00:00.861; Declinada; Guardar History; AppController; updateHistory; 2805;
2022-02-23 09:24:06; 00:00:00.498; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2805;
2022-02-23 09:24:08; 00:00:00.498; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2805;
2022-02-23 09:24:09; 00:00:00.569; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2805;
2022-02-23 09:24:09; 00:00:06.6489; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2805;
2022-02-23 09:24:10; 00:00:00.19; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2805;
2022-02-23 09:45:28; 00:00:00.397; Consulta; InsertLog; AppController; Log; 2806;
2022-02-23 09:45:31; 00:00:00.546; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2806;
2022-02-23 09:45:32; 00:00:00.830; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2806;
2022-02-23 09:45:32; 00:00:00.951; Consulta; InsertHistory; AppController; createHistory; 2806;
2022-02-23 09:45:32; 00:00:06.6169; Consulta; Funcion completa; BaseCustomersController; consult; 2806;
2022-02-23 09:46:14; 00:00:00.92; Declinada; Conteo Normalizacion; AppController; updateHistory; 2806;
