2022-02-14 16:40:07; 00:00:00.805; Consulta; InsertLog; AppController; Log; 2079;
2022-02-14 16:40:13; 00:00:00.500; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2079;
2022-02-14 16:40:14; 00:00:00.998; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2079;
2022-02-14 16:40:14; 00:00:02.2193; Consulta; InsertHistory; AppController; createHistory; 2079;
2022-02-14 16:40:14; 00:00:13.13942; Consulta; Funcion completa; BaseCustomersController; consult; 2079;
2022-02-14 16:41:36; 00:00:00.200; Declinada; Guardar History; AppController; updateHistory; ;
2022-02-14 16:41:38; 00:00:00.116; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2079;
2022-02-14 16:41:38; 00:00:00.116; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2079;
2022-02-14 16:41:39; 00:00:01.1023; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2079;
2022-02-14 16:41:39; 00:00:00.316; Consulta; InsertLog; AppController; Log; 2080;
2022-02-14 16:41:42; 00:00:00.111; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2080;
2022-02-14 16:41:43; 00:00:01.1016; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2080;
2022-02-14 16:41:43; 00:00:01.1087; Consulta; InsertHistory; AppController; createHistory; 2080;
2022-02-14 16:41:43; 00:00:12.12010; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2079;
2022-02-14 16:49:07; 00:00:00.364; Consulta; InsertLog; AppController; Log; 2081;
2022-02-14 16:49:09; 00:00:00.94; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2081;
2022-02-14 16:49:09; 00:00:00.262; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2081;
2022-02-14 16:49:09; 00:00:00.524; Consulta; InsertHistory; AppController; createHistory; 2081;
2022-02-14 16:49:09; 00:00:04.4271; Consulta; Funcion completa; BaseCustomersController; consult; 2081;
2022-02-14 16:50:23; 00:00:00.217; Declinada; Guardar History; AppController; updateHistory; ;
2022-02-14 16:50:25; 00:00:00.118; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2081;
2022-02-14 16:50:25; 00:00:00.118; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2081;
2022-02-14 16:50:25; 00:00:00.220; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2081;
2022-02-14 16:50:26; 00:00:00.306; Consulta; InsertLog; AppController; Log; 2082;
2022-02-14 16:50:28; 00:00:00.121; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2082;
2022-02-14 16:50:28; 00:00:00.245; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2082;
2022-02-14 16:50:28; 00:00:00.530; Consulta; InsertHistory; AppController; createHistory; 2082;
2022-02-14 16:50:28; 00:00:07.7111; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2081;
2022-02-14 16:54:30; 00:00:00.345; Consulta; InsertLog; AppController; Log; 2083;
2022-02-14 16:54:32; 00:00:00.91; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2083;
2022-02-14 16:54:32; 00:00:00.267; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2083;
2022-02-14 16:54:32; 00:00:00.535; Consulta; InsertHistory; AppController; createHistory; 2083;
2022-02-14 16:54:32; 00:00:04.4142; Consulta; Funcion completa; BaseCustomersController; consult; 2083;
2022-02-14 16:56:16; 00:00:00.354; Consulta; InsertLog; AppController; Log; 2084;
2022-02-14 16:56:18; 00:00:00.85; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2084;
2022-02-14 16:56:19; 00:00:00.226; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2084;
2022-02-14 16:56:19; 00:00:00.506; Consulta; InsertHistory; AppController; createHistory; 2084;
2022-02-14 16:56:19; 00:00:04.4126; Consulta; Funcion completa; BaseCustomersController; consult; 2084;
2022-02-14 16:59:27; 00:00:00.373; Consulta; InsertLog; AppController; Log; 2085;
2022-02-14 16:59:29; 00:00:00.96; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 16:59:30; 00:00:00.569; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 16:59:30; 00:00:00.741; Consulta; InsertHistory; AppController; createHistory; 2085;
2022-02-14 16:59:30; 00:00:05.5259; Consulta; Funcion completa; BaseCustomersController; consult; 2085;
