2022-02-08 09:48:05; 00:00:00.797; Consulta; InsertLog; AppController; Log; 1919;
2022-02-08 09:48:10; 00:00:00.530; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1919;
2022-02-08 09:48:11; 00:00:00.264; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1919;
2022-02-08 09:48:11; 00:00:01.1555; Consulta; InsertHistory; AppController; createHistory; 1919;
2022-02-08 09:48:11; 00:00:10.10091; Consulta; Funcion completa; BaseCustomersController; consult; 1919;
2022-02-08 09:54:37; 00:00:00.364; Consulta; InsertLog; AppController; Log; 1920;
2022-02-08 09:54:39; 00:00:00.114; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1920;
2022-02-08 09:54:39; 00:00:00.221; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1920;
2022-02-08 09:54:39; 00:00:00.542; Consulta; InsertHistory; AppController; createHistory; 1920;
2022-02-08 09:54:39; 00:00:03.3594; Consulta; Funcion completa; BaseCustomersController; consult; 1920;
