2022-02-08 11:23:52; 00:00:00.704; Consulta; InsertLog; AppController; Log; 1928;
2022-02-08 11:23:56; 00:00:00.529; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1928;
2022-02-08 11:23:57; 00:00:00.256; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1928;
2022-02-08 11:23:57; 00:00:01.1329; Consulta; InsertHistory; AppController; createHistory; 1928;
2022-02-08 11:23:57; 00:00:09.9175; Consulta; Funcion completa; BaseCustomersController; consult; 1928;
2022-02-08 11:32:05; 00:00:00.381; Consulta; InsertLog; AppController; Log; 1929;
2022-02-08 11:32:07; 00:00:00.121; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1929;
2022-02-08 11:32:07; 00:00:00.262; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1929;
2022-02-08 11:32:07; 00:00:00.530; Consulta; InsertHistory; AppController; createHistory; 1929;
2022-02-08 11:32:07; 00:00:04.4111; Consulta; Funcion completa; BaseCustomersController; consult; 1929;
2022-02-08 11:48:46; 00:00:00.630; Consulta; InsertLog; AppController; Log; 1930;
2022-02-08 11:48:48; 00:00:00.88; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1930;
2022-02-08 11:48:48; 00:00:00.187; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1930;
2022-02-08 11:48:48; 00:00:00.457; Consulta; InsertHistory; AppController; createHistory; 1930;
2022-02-08 11:48:48; 00:00:04.4188; Consulta; Funcion completa; BaseCustomersController; consult; 1930;
2022-02-08 11:52:24; 00:00:00.273; Consulta; InsertLog; AppController; Log; 1931;
2022-02-08 11:52:26; 00:00:00.88; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1931;
2022-02-08 11:52:26; 00:00:00.209; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1931;
2022-02-08 11:52:26; 00:00:00.443; Consulta; InsertHistory; AppController; createHistory; 1931;
2022-02-08 11:52:26; 00:00:03.3121; Consulta; Funcion completa; BaseCustomersController; consult; 1931;
2022-02-08 11:56:36; 00:00:00.269; Consulta; InsertLog; AppController; Log; 1932;
