2022-02-08 10:09:13; 00:00:00.344; Consulta; InsertLog; AppController; Log; 1922;
2022-02-08 10:09:15; 00:00:00.104; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1922;
2022-02-08 10:09:15; 00:00:00.211; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1922;
2022-02-08 10:09:15; 00:00:00.491; Consulta; InsertHistory; AppController; createHistory; 1922;
2022-02-08 10:09:15; 00:00:03.3217; Consulta; Funcion completa; BaseCustomersController; consult; 1922;
2022-02-08 10:14:11; 00:00:00.379; Consulta; InsertLog; AppController; Log; 1923;
2022-02-08 10:14:13; 00:00:00.104; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1923;
2022-02-08 10:14:13; 00:00:00.250; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1923;
2022-02-08 10:14:13; 00:00:00.514; Consulta; InsertHistory; AppController; createHistory; 1923;
2022-02-08 10:14:13; 00:00:03.3625; Consulta; Funcion completa; BaseCustomersController; consult; 1923;
2022-02-08 10:44:15; 00:00:00.366; Consulta; InsertLog; AppController; Log; 1926;
2022-02-08 10:44:17; 00:00:00.125; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1926;
2022-02-08 10:44:18; 00:00:00.265; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1926;
2022-02-08 10:44:18; 00:00:00.591; Consulta; InsertHistory; AppController; createHistory; 1926;
2022-02-08 10:44:18; 00:00:04.4069; Consulta; Funcion completa; BaseCustomersController; consult; 1926;
2022-02-08 10:47:08; 00:00:00.795; Consulta; InsertLog; AppController; Log; 1927;
2022-02-08 10:47:14; 00:00:00.101; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 1927;
2022-02-08 10:47:20; 00:00:05.5507; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 1927;
2022-02-08 10:47:20; 00:00:04.4698; Consulta; InsertHistory; AppController; createHistory; 1927;
2022-02-08 10:47:20; 00:00:20.20588; Consulta; Funcion completa; BaseCustomersController; consult; 1927;
